name,brand,cpu_name,cpu_brand,cpu_core_num,cpu_thread_num,gpu,Intel_gpu,AMD_gpu,NVIDIA_gpu,weight,battery,monitor_size,monitor_resolution_x,monitor_resolution_y,monitor_panel,monitor_display,monitor_torch_screen,monitor_blue_light_filter,monitor_LED_backlit,monitor_anti_glare,monitor_sRGB,monitor_refresh_rate,connection_type_c,connection_usb_a,connection_thunderbolt,ram_capacity,ram_type,ram_speed,HDD_capacity,SSD_capacity,price
Sạc Macbook Hyperjuice Ultimate Charger 110W DUAL WIRELESS CHARGER (HJ-UC5-W15LR),Other,Intel Core i5 1235U,Intel,10.0,12.0,Intel Iris Xe Graphics,1.0,0.0,0.0,1.4,39.3,14.0,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,1.0,0,8.0,DDR4,3200.0,0.0,512.0,3590000.0
Ghế Công Thái Học HyperWork HW01 (Arm 3D - Gray),Other,Intel Core i5 11300H,Intel,4.0,8.0,Intel Iris Xe Graphics,1.0,0.0,0.0,1.743,58.0,14.4,2400.0,1600.0,,,1,0,0,0,100.0,120.0,2.0,0.0,0,16.0,,4266.0,0.0,512.0,3790000.0
Màn hình chuyên đồ hoạ ViewSonic VG2755-2K (QHD/IPS/60Hz),Other,AMD Ryzen R5-5625U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.7,39.3,15.6,1920.0,1080.0,IPS,,0,0,0,1,65.0,,1.0,1.0,0,8.0,DDR4,3200.0,0.0,512.0,7790000.0
Asus Vivobook X515 (Chính Hãng) (X515MA-BR481T),Asus,Intel Celeron N4020,Intel,2.0,2.0,Intel UHD Graphics,1.0,0.0,0.0,,37.0,15.6,1366.0,768.0,TN,Matte,0,0,0,0,,60.0,1.0,3.0,0,4.0,DDR4,3200.0,1024.0,256.0,7990000.0
ASUS Vivobook X515JA,Asus,Intel Core i3 1005G1,Intel,2.0,4.0,Intel UHD Graphics,1.0,0.0,0.0,1.8,37.0,15.6,1366.0,768.0,TN,,0,0,0,1,45.0,,1.0,2.0,0,8.0,,3200.0,0.0,256.0,8990000.0
Lenovo IdeaPad 3 14 Intel (Nhập khẩu) (81WD00U10US),Lenovo,Intel Core i3 1005G1,Intel,2.0,4.0,Intel UHD G1,1.0,0.0,0.0,1.6,35.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,,60.0,0.0,3.0,0,4.0,DDR4,2666.0,0.0,128.0,8990000.0
Surface Pro 6,Microsoft,Intel Core i5 8250U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,0.77,45.0,12.3,2736.0,1824.0,IPS,Glossy,0,0,0,0,90.0,60.0,0.0,1.0,0,8.0,LPDDR3,2133.0,0.0,128.0,9990000.0
Lenovo ThinkPad T480,Lenovo,Intel Core i5 8350U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.6,48.0,14.0,1920.0,1080.0,IPS,Matte,1,0,0,0,59.0,60.0,2.0,2.0,1,8.0,DDR4,2400.0,0.0,256.0,9990000.0
HP ZBook Studio G3,HP,Intel Xeon E3 1545M,Intel,4.0,8.0,"Intel UHD Graphics, Nvidia Quadro M1000m",1.0,0.0,0.0,2.0,64.0,15.6,1920.0,1080.0,IPS,,0,0,0,0,,60.0,2.0,2.0,0,16.0,DDR4,2133.0,0.0,512.0,9990000.0
Dell Inspiron 15 3501,Dell,Intel Core i3 1115G4,Intel,2.0,4.0,Intel UHD Graphics,1.0,0.0,0.0,1.96,42.0,15.6,1096.0,1080.0,WVA,,0,0,0,1,,60.0,0.0,3.0,0,8.0,,2666.0,0.0,256.0,9990000.0
Dell Latitude 5410,Dell,Intel Core i5 10210U,Intel,4.0,8.0,Intel UHD Graphics,1.0,0.0,0.0,1.52,42.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,DDR4,2666.0,0.0,256.0,9990000.0
Lenovo Ideapad 5 14IIL05,Lenovo,Intel Core i5 1035G1,Intel,4.0,8.0,Intel UHD G1,1.0,0.0,0.0,1.39,44.5,14.0,1920.0,1080.0,TN,,0,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,9990000.0
HP 14s Notebook,HP,Intel Core i5 10210U,Intel,4.0,8.0,Intel UHD,1.0,0.0,0.0,1.46,42.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,DDR4,2400.0,0.0,256.0,9990000.0
Asus Vivobook Flip 14 TP470 (Intel) (TP470EA-EC346W),Asus,Intel Core i3 1135G4,Intel,2.0,4.0,Intel UHD Graphics,1.0,0.0,0.0,1.5,42.0,14.0,1920.0,1080.0,IPS,,1,0,0,0,65.0,60.0,1.0,0.0,1,4.0,,4266.0,0.0,512.0,9990000.0
Dell Vostro 15 3500 Intel gen 11 (Chính Hãng) (V5I3001W-Black),Dell,Intel Core i3 1115G4,Intel,2.0,4.0,Intel UHD G4,1.0,0.0,0.0,1.96,42.0,15.6,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,0.0,3.0,0,8.0,DDR4,2666.0,0.0,256.0,9990000.0
Acer Aspire 3 15 Intel gen 11 (Chính hãng) (A315-58-35AG),Acer,Intel Core i3-1115G4,Intel,2.0,4.0,UHD Graphics,1.0,0.0,0.0,1.7,36.7,15.6,1920.0,1080.0,TN,,0,0,0,0,,60.0,0.0,3.0,1,4.0,,2400.0,0.0,256.0,9990000.0
Lenovo ThinkPad X1 Carbon Gen 5,Lenovo,Intel Core i5 6300U,Intel,2.0,4.0,Intel HD 520,1.0,0.0,0.0,1.13,57.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,87.0,60.0,2.0,2.0,1,8.0,LPDDR3,1866.0,0.0,256.0,9990000.0
Dell Latitude 3520 Intel (Chính hãng) (70251603),Dell,Intel Core i3-1115G4,Intel,2.0,4.0,Intel® Core™ UHD Graphics,1.0,0.0,0.0,1.79,41.0,15.6,1366.0,768.0,IPS,Matte,0,0,0,0,,60.0,1.0,3.0,0,4.0,DDR4,3200.0,0.0,256.0,10390000.0
